"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",989880,"3","Disagree","Independent","approve","neither approve nor disapprove","approve","somewhat likely","somewhat likely","somewhat likely",1,"Hispanic","Bachelor's degree or higher",,"Democratic Party","Slightly liberal","Republicans","a two-thirds majority of one house of Congress","eight years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","education","a federation","conservatives","President","Democrat","Refused","neither agree nor disagree","Disagree","Agree","45-59",0.26,"$10,000-$29,999","unilateral",1,"ind",1,,1,4,3,4,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,1,1,"45-59",1,-1,1,-1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.29444444444444,0,-1,-1
,,,,,,,,,989881,,,"Independent",,,,,,,2,"Other, Non-Hispanic","Bachelor's degree or higher",,"Democratic Party","Moderate","Don't know","a two-thirds majority of both houses of Congress","two years","a filibuster","Joseph Biden","two terms","Don't know","Antoni Scalia","the benefit program for senior citizens","Don't know","a federation","conservatives","President","Democrat","Don't know","agree","Neither Agree nor Disagree",,"30-44",,"$50,000-$79,999",,,"ind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,"30-44",1,-1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,-0.705555555555556,1,0,
"not too well","not too well","not too well","quite well","quite well","quite well","quite well","quite well","quite well",989882,"4","Strongly Disagree","Republican","disapprove","disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",2,"White, Non-Hispanic","High school","Strong",,"Very conservative","Republicans","Don't know","six years","a veto","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","a communist system","conservatives","President","Democrat","Don't know","strongly disagree","Strongly Agree","Neither Agree nor Disagree","60+",3.15,"$50,000-$79,999","unilateral",1,"gop",0,0,0,2,2,1,0,0,0,1,1,1,2,2,2,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,0,"60+",-3,3,-3,3,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0.294444444444444,-2,2,0
"quite well","not too well","extremely well","quite well","not too well","extremely well","quite well","quite well","quite well",989883,"5","Disagree","Democrat","strongly approve","disapprove","approve","very likely","very unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","education","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","strongly agree","Disagree","Agree","18-29",2.83,"$100,000 or more","bilateral",0,"dem",1,0,1,5,2,4,1,0,1,4,1,3,3,2,4,1,0,1,3,2,4,1,0,1,3,3,3,1,1,1,0,0,0,0,1,"18-29",2,-2,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3.29444444444444,2,-1,-1
"quite well","quite well","quite well","Refused","Refused","Refused","Refused","Refused","Refused",989884,"2","Disagree","Independent","approve","neither approve nor disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Slightly conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","60+",1.07,"$100,000 or more","control",,"ind",1,,,4,3,3,1,0,1,3,2,3,3,3,3,1,1,1,,,,,,,,,,,,,1,0,0,0,1,"60+",-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,3.29444444444444,-2,0,0
,,,,,,,,,989885,,,,,,,,,,1,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"quite well","quite well","quite well","quite well","quite well","not too well","quite well","quite well","not too well",989886,"4","Neither Agree nor Disagree","Republican","neither approve nor disapprove","neither approve nor disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Conservative","Democrats","a two-thirds majority of one house of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","a unitary system","conservatives","President","Democrat","was originally called the Bureau of the Budget","disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","30-44",1.23,"$100,000 or more","unilateral",1,"gop",,,0,3,3,2,0,0,0,2,2,2,3,3,3,1,1,1,3,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,1,"30-44",-2,2,-2,2,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1.29444444444444,-1,0,0
,,,,,,,,,989887,,,,,,,,,,2,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"18-29",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"quite well","quite well","quite well","not well at all","not too well","not too well","not too well","quite well","quite well",989888,"1","Strongly Disagree","Republican","neither approve nor disapprove","disapprove","neither approve nor disapprove","somewhat unlikely","very unlikely","somewhat likely",1,"White, Non-Hispanic","Some college","Strong",,"Conservative","Democrats","a two-thirds majority of both houses of Congress","two years","Don't know","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Agree","Disagree","45-59",0.53,"$100,000 or more","control",,"gop",,0,,3,2,3,0,0,1,2,1,3,3,3,3,1,1,1,1,2,2,0,0,0,2,3,3,0,1,1,0,0,0,0,0,"45-59",-3,3,-2,2,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,-1.70555555555556,-2,1,1
"not too well","quite well","not too well","quite well","quite well","not too well","quite well","quite well","quite well",989889,"4","Strongly Disagree","Other, please specify:","disapprove","strongly approve","neither approve nor disapprove","very unlikely","very likely","somewhat likely",1,"White, Non-Hispanic","Some college",,,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","strongly disagree","Agree","Disagree","60+",0.37,"$30,000-$49,999","unilateral",1,,0,1,,2,5,3,0,1,1,1,4,3,2,3,2,0,1,0,3,3,2,1,1,0,3,3,3,1,1,1,0,0,0,0,0,"60+",,,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-2,1,1
,,,,,,,,,989890,,,,,,,,,,1,"Black, Non-Hispanic","Some college",,,,"Republicans","a two-thirds majority of both houses of Congress","eight years","a veto","Joseph Biden","two terms","two-year terms","Don't know","the benefit program for senior citizens","Medicare","a confederation","liberals","President","Democrat","is headed by the Secretary of the Treasury","strongly agree",,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,"30-44",,,,,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-1.70555555555556,2,,
"quite well","quite well","extremely well","quite well","quite well","extremely well","quite well","quite well","extremely well",989891,"5","Neither Agree nor Disagree","Democrat","neither approve nor disapprove","neither approve nor disapprove","approve","somewhat unlikely","somewhat likely","very likely",2,"Black, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Don’t know",,,,,,,,,,,,,,,,,,"Strongly Disagree","30-44",1.01,"$30,000-$49,999","bilateral",0,"dem",,,1,3,3,4,0,1,1,2,3,4,3,3,4,1,1,1,3,3,4,1,1,1,3,3,4,1,1,1,1,0,1,0,1,"30-44",2,-2,,,,,,,,,,,,,,,,,,,,,2
"quite well","not well at all","not well at all","quite well","not well at all","not well at all","quite well","not well at all","not well at all",989892,"6","Disagree","Democrat","approve","strongly disapprove","disapprove","somewhat likely","very unlikely","very unlikely",2,"White, Non-Hispanic","Some college","Strong",,"Liberal","Democrats","a two-thirds majority of both houses of Congress","two years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","a federation","conservatives","President","Democrat","Don't know","neither agree nor disagree","Disagree","Strongly agree","60+",1.15,"$30,000-$49,999","bilateral",0,"dem",1,0,0,4,1,2,1,0,0,3,1,1,3,1,1,1,0,0,3,1,1,1,0,0,3,1,1,1,0,0,1,0,0,0,0,"60+",3,-3,2,-2,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0.294444444444444,0,-1,-2
"not too well","quite well","quite well","extremely well","quite well","quite well","not well at all","not too well","not too well",989893,"6","Strongly Disagree","Republican","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Don't know","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","Don't know","conservatives","Don't know","Democrat","Don't know","disagree","Strongly Agree","Neither Agree nor Disagree","45-59",1.16,"$100,000 or more","bilateral",0,"gop",,,,3,3,3,0,1,0,2,3,2,2,3,3,0,1,1,4,3,3,1,1,1,1,2,2,0,0,0,1,0,0,0,1,"45-59",-3,3,-2,2,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0.294444444444444,-1,2,0
,,,,,,,,,989894,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989895,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989896,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not too well","not too well","not well at all","not well at all","not well at all","not well at all","not well at all",989897,"2","Agree","Democrat","approve","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",2,"Other, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal","Republicans","Don't know","four years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","funded by the personal income tax","education","Don't know","conservatives","President","Democrat","is the newest department of the federal government","strongly agree","Neither Agree nor Disagree","Agree","45-59",0.17,"$10,000-$29,999","control",,"dem",1,0,0,4,1,1,0,0,0,1,1,1,1,1,2,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,"45-59",3,-3,3,-3,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,-1.70555555555556,2,0,-1
"quite well","quite well","Refused","quite well","quite well","Refused","quite well","quite well","Refused",989898,"1","Disagree","Democrat","strongly approve","approve","approve","very likely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Slightly liberal",,,,,,,,,,,,,,,,,"Strongly Disagree","Disagree","30-44",1.18,"$100,000 or more","control",,"dem",1,1,1,5,4,4,1,1,1,4,3,3,3,3,,1,1,,3,3,,1,1,,3,3,,1,1,,1,0,0,0,1,"30-44",3,-3,1,-1,,,,,,,,,,,,,,,,,,-2,1
,,,,,,,,,989899,,,,,,,,,,1,"Other, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,"don't know",,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989900,,,,,,,,,,2,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",989901,"3","Disagree",,"approve","neither approve nor disapprove","disapprove","somewhat likely","somewhat likely","very unlikely",1,"Hispanic","Some college",,,,"Republicans","a two-thirds majority of one house of Congress","two years","a filibuster","Joseph Biden","two terms","Don't know","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","a federation","Don't know","President","Democrat","Don't know","strongly agree","Neither Agree nor Disagree","Agree","45-59",2.39,"$100,000 or more","unilateral",1,,1,,0,4,3,2,1,1,0,3,3,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,"45-59",,,,,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,-1.70555555555556,2,0,-1
,,,,,,,,,989902,,,,,,,,,,2,"Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",989903,"3","Strongly Disagree","Republican","strongly disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",1,"Other, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Very conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","neither agree nor disagree","Agree","Strongly Disagree","45-59",0.15,"$10,000-$29,999","unilateral",1,"gop",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,"45-59",-2,2,-3,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,3.29444444444444,0,1,2
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",989904,"2","Strongly Disagree","Other, please specify:","approve","approve","approve","somewhat likely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher",,,"Conservative","Republicans","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Don't know","a federation","conservatives","National Security Council","Democrat","is headed by the Secretary of the Treasury","neither agree nor disagree","Agree","Neither Agree nor Disagree","60+",0.18,"$50,000-$79,999","control",,,1,1,1,4,4,4,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"60+",,,-2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0.294444444444444,0,1,0
"not too well","not well at all","quite well","not too well","not too well","not too well","not well at all","not too well","quite well",989905,"2","Strongly Disagree","Democrat","neither approve nor disapprove","disapprove","disapprove","very unlikely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Some college","Not Very Strong",,"Slightly liberal","Democrats","a two-thirds majority of one house of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","aid to foreign countries","a federation","socialists","President","Democrat","Refused","strongly agree","Disagree","Strongly agree","45-59",0.44,"$50,000-$79,999","control",,"dem",,0,0,3,2,2,0,0,0,1,1,2,2,1,3,0,0,1,2,2,2,0,0,0,1,2,3,0,0,1,0,0,0,0,0,"45-59",2,-2,1,-1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,-1.70555555555556,2,-1,-2
"not well at all","not well at all","not too well","not too well","not too well","not too well","not too well","not too well","not too well",989906,"3","Strongly Disagree","Republican","disapprove","strongly disapprove","neither approve nor disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","disagree","Neither Agree nor Disagree","Agree","30-44",0.45,"$50,000-$79,999","unilateral",1,"gop",0,0,,2,1,3,0,0,0,2,2,2,1,1,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,1,"30-44",-2,2,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-1,0,-1
"not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well",989907,"1","Disagree","Republican","disapprove","approve","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","Don't know","conservatives","President","Democrat","Don't know","strongly disagree","Agree","Disagree","60+",0.23,"Under $10,000","control",,"gop",0,1,,2,4,3,0,1,1,2,3,3,2,3,3,0,1,1,2,3,3,0,1,1,2,3,3,0,1,1,1,0,0,0,1,"60+",-3,3,-2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,3.29444444444444,-2,1,1
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",989908,"3","Strongly Disagree","Democrat","strongly disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",2,"White, Non-Hispanic","High school","Not Very Strong",,"Slightly liberal","Republicans","Don't know","two years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","Don't know","liberals","President","Democrat","is headed by the Secretary of the Treasury","strongly agree","Agree","Strongly agree","45-59",0.24,"$10,000-$29,999","unilateral",1,"dem",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,"45-59",2,-2,1,-1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,-0.705555555555556,2,1,-2
,,,,,,,,,989909,,,,,,,,,,1,"Other, Non-Hispanic","Bachelor's degree or higher",,,,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know",,,,"60+",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,"60+",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.70555555555556,,,
